CategoryID,Segment name,Display,Gmail,Discovery,Search,Shopping,Video
80065,/Autos & Vehicles/Vehicles (Other)/Boats & Watercraft,YES,YES,YES,YES,NO,YES
80069,/Autos & Vehicles/Vehicles (Other)/Campers & RVs,YES,YES,YES,YES,NO,YES
80070,/Autos & Vehicles/Vehicles (Other)/Commercial Vehicles,YES,YES,YES,YES,NO,YES
80308,/Baby & Children's Products,YES,YES,YES,YES,NO,YES
80309,/Baby & Children's Products/Baby & Children's Apparel,YES,YES,YES,YES,NO,YES
80316,/Baby & Children's Products/Baby & Children's Apparel/Baby & Toddler Apparel,YES,YES,YES,YES,NO,YES
80317,/Baby & Children's Products/Baby & Children's Apparel/Children's Apparel,YES,YES,YES,YES,NO,YES
80312,/Baby & Children's Products/Child Car Seats,YES,YES,YES,YES,NO,YES
80314,/Baby & Children's Products/Childcare & Education,YES,YES,YES,YES,NO,YES
80318,/Baby & Children's Products/Childcare & Education/Childcare,YES,YES,YES,YES,NO,YES
80319,/Baby & Children's Products/Childcare & Education/Early Childhood Education,YES,YES,YES,YES,NO,YES
80310,/Baby & Children's Products/Diapers & Baby Hygiene Products,YES,YES,YES,YES,NO,YES
80315,/Baby & Children's Products/Infant & Toddler Feeding,YES,YES,YES,YES,NO,YES
80320,/Baby & Children's Products/Infant & Toddler Feeding/Infant Feeding Supplies,YES,YES,YES,YES,NO,YES
80321,/Baby & Children's Products/Infant & Toddler Feeding/Toddler Meals,YES,YES,YES,YES,NO,YES
80313,/Baby & Children's Products/Strollers & Baby Carriages,YES,YES,YES,YES,NO,YES
80311,/Baby & Children's Products/Toys & Games,YES,YES,YES,YES,NO,YES
80546,/Beauty Products & Services,YES,YES,YES,YES,NO,YES
80552,/Beauty Products & Services/Bath & Body Products,YES,YES,YES,YES,NO,YES
80551,/Beauty Products & Services/Hair Care Products,YES,YES,YES,YES,NO,YES
80554,/Beauty Products & Services/Makeup & Cosmetics,YES,YES,YES,YES,NO,YES
80577,/Beauty Products & Services/Makeup & Cosmetics/Eye Makeup,YES,YES,NO,YES,NO,YES
80578,/Beauty Products & Services/Makeup & Cosmetics/Face Makeup,YES,YES,NO,YES,NO,YES
80579,/Beauty Products & Services/Makeup & Cosmetics/Lip Makeup,YES,YES,NO,YES,NO,YES
80580,/Beauty Products & Services/Makeup & Cosmetics/Nail Care Products,YES,YES,NO,YES,NO,YES
80437,/Beauty Products & Services/Perfumes & Fragrances,YES,YES,YES,YES,NO,YES
80555,/Beauty Products & Services/Skin Care Products,YES,YES,YES,YES,NO,YES
80581,/Beauty Products & Services/Skin Care Products/Anti-Aging Skin Care Products,YES,YES,NO,NO,NO,NO
80583,/Beauty Products & Services/Skin Care Products/Face Lotions & Moisturizers,YES,YES,NO,YES,NO,YES
80582,/Beauty Products & Services/Skin Care Products/Facial Cleansers & Makeup Removers,YES,YES,NO,YES,NO,YES
80556,/Beauty Products & Services/Spas & Beauty Services,YES,YES,YES,YES,NO,YES
80587,/Beauty Products & Services/Spas & Beauty Services/Manicures & Pedicures,NO,NO,NO,YES,NO,YES
80553,/Beauty Products & Services/Tanning & Sun Care Products,YES,YES,YES,YES,NO,YES
80883,/Business & Industrial Products,YES,YES,NO,YES,NO,YES
80884,/Business & Industrial Products/Food Service Equipment,YES,YES,NO,NO,NO,YES
80885,/Business & Industrial Products/Material Handling Equipment,NO,YES,NO,NO,NO,YES
80886,/Business & Industrial Products/Signage,YES,YES,NO,NO,NO,YES
80887,/Business & Industrial Products/Work Safety Protective Gear,NO,YES,NO,NO,NO,YES
80463,/Business Services,YES,YES,YES,YES,NO,YES
80517,/Business Services/Advertising & Marketing Services,YES,YES,YES,YES,NO,YES
80528,/Business Services/Advertising & Marketing Services/Email Marketing Services,NO,NO,NO,YES,NO,YES
80529,/Business Services/Advertising & Marketing Services/SEO & SEM Services,YES,YES,YES,YES,NO,YES
80518,/Business Services/Business Financial Services,YES,YES,YES,YES,NO,YES
80519,/Business Services/Business Printing & Document Services,YES,YES,YES,YES,NO,YES
80520,/Business Services/Business Technology,YES,YES,YES,YES,NO,YES
80530,/Business Services/Business Technology/Enterprise Software,YES,YES,YES,YES,NO,YES
80535,/Business Services/Business Technology/Enterprise Software/CRM Solutions,YES,YES,YES,YES,NO,YES
80534,/Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,YES,YES,YES,YES,NO,YES
80536,/Business Services/Business Technology/Enterprise Software/ERP Solutions,YES,YES,YES,YES,NO,YES
80537,/Business Services/Business Technology/Enterprise Software/Helpdesk & Customer Support Solutions,YES,YES,YES,YES,NO,YES
80531,/Business Services/Business Technology/Network Systems & Services,YES,YES,YES,YES,NO,YES
80538,/Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,YES,YES,YES,YES,NO,YES
80539,/Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,YES,YES,YES,YES,NO,YES
80540,/Business Services/Business Technology/Network Systems & Services/Network Equipment & Virtualization,YES,YES,YES,YES,NO,YES
80541,/Business Services/Business Technology/Network Systems & Services/Network Management,YES,YES,YES,YES,NO,YES
80532,/Business Services/Business Technology/Web Services,YES,YES,YES,YES,NO,YES
80542,/Business Services/Business Technology/Web Services/Domain Registration,YES,YES,YES,YES,NO,YES
80543,/Business Services/Business Technology/Web Services/Web Design & Development,YES,YES,YES,YES,NO,YES
80544,/Business Services/Business Technology/Web Services/Web Hosting,YES,YES,YES,YES,NO,YES
80521,/Business Services/Corporate Event Planning,YES,YES,YES,YES,NO,YES
80522,/Business Services/Office Supplies,YES,YES,YES,YES,NO,YES
